context,question,answer
"The Pitchfork online music publication ranked My Beautiful Dark Twisted Fantasy as the world's best album of the decade ""so far""—between 2010 and 2014—on August 19, 2014, while Yeezus was ranked in the eighth position of a list of 100 albums. During the same week, the song ""Runaway"" (featuring Pusha T) was ranked in the third position in the publication's list of the 200 ""best tracks"" released since 2010.",Which one of Kanye's albums won The Pitchfork's Album of the Decade (so far) award?,My Beautiful Dark Twisted Fantasy
"Today, with a long cultural tradition and strong support from local educational institutions, Nanjing is commonly viewed as a “city of culture” and one of the more pleasant cities to live in China.","How is Nanjing seen, from a cultural perspective?",as a “city of culture”
"Others argue that reason was generally held in high regard during the Middle Ages. Science historian Edward Grant writes, ""If revolutionary rational thoughts were expressed [in the 18th century], they were only made possible because of the long medieval tradition that established the use of reason as one of the most important of human activities"". Also, contrary to common belief, David Lindberg writes, ""the late medieval scholar rarely experienced the coercive power of the church and would have regarded himself as free (particularly in the natural sciences) to follow reason and observation wherever they led"".",What is Edward Grant a historian of?,Science
"Linguists, including Valencian scholars, deal with Catalan and Valencian as the same language. The official regulating body of the language of the Valencian Community, the Valencian Academy of Language (Acadèmia Valenciana de la Llengua, AVL) declares the linguistic unity between Valencian and Catalan varieties.",How do linguists view Catalan and Valencian?,as the same language
"In the 1990s and the new millennium, the city has produced a number of influential hip hop artists, including Eminem, the hip-hop artist with the highest cumulative sales, hip-hop producer J Dilla, rapper and producer Esham and hip hop duo Insane Clown Posse. The city is also home to rappers Big Sean and Danny Brown. The band Sponge toured and produced music, with artists such as Kid Rock and Uncle Kracker. The city also has an active garage rock genre that has generated national attention with acts such as: The White Stripes, The Von Bondies, The Detroit Cobras, The Dirtbombs, Electric Six, and The Hard Lessons.",Which Detroit artist has the highest hip-hop sales?,Eminem
"After the death of Tugh Temür in 1332 and subsequent death of Rinchinbal (Emperor Ningzong) the same year, the 13-year-old Toghun Temür (Emperor Huizong), the last of the nine successors of Kublai Khan, was summoned back from Guangxi and succeeded to the throne. After El Temür's death, Bayan became as powerful an official as El Temür had been in the beginning of his long reign. As Toghun Temür grew, he came to disapprove of Bayan's autocratic rule. In 1340 he allied himself with Bayan's nephew Toqto'a, who was in discord with Bayan, and banished Bayan by coup. With the dismissal of Bayan, Toghtogha seized the power of the court. His first administration clearly exhibited fresh new spirit. He also gave a few early signs of a new and positive direction in central government. One of his successful projects was to finish the long-stalled official histories of the Liao, Jin, and Song dynasties, which were eventually completed in 1345. Yet, Toghtogha resigned his office with the approval of Toghun Temür, marking the end of his first administration, and he was not called back until 1349.",When did Tugh Temur die?,1332; 1332; 1332
"A ""beer engine"" is a device for pumping beer, originally manually operated and typically used to dispense beer from a cask or container in a pub's basement or cellar.","What is a ""beer engine""?",a device for pumping beer
"The reinforcement type defines two major classes of materials - woven and non-woven. Woven reinforcements are cheaper, but the high dielectric constant of glass may not be favorable for many higher-frequency applications. The spatially nonhomogeneous structure also introduces local variations in electrical parameters, due to different resin/glass ratio at different areas of the weave pattern. Nonwoven reinforcements, or materials with low or no reinforcement, are more expensive but more suitable for some RF/analog applications.","Along with the non-woven class, what makes up the reinforcement type materials?",woven
"Not all introduced species are invasive, nor all invasive species deliberately introduced. In cases such as the zebra mussel, invasion of US waterways was unintentional. In other cases, such as mongooses in Hawaii, the introduction is deliberate but ineffective (nocturnal rats were not vulnerable to the diurnal mongoose). In other cases, such as oil palms in Indonesia and Malaysia, the introduction produces substantial economic benefits, but the benefits are accompanied by costly unintended consequences.",What animal unintentionally invaded the US waterways?,the zebra mussel
"A traveller in the early Middle Ages could obtain overnight accommodation in monasteries, but later a demand for hostelries grew with the popularity of pilgrimages and travel. The Hostellers of London were granted guild status in 1446 and in 1514 the guild became the Worshipful Company of Innholders.","In the early Middle Ages, where could a traveler obtain overnight accommodations?",in monasteries
"In Canada, ""college"" generally refers to a two-year, non-degree-granting institution, while ""university"" connotes a four-year, degree-granting institution. Universities may be sub-classified (as in the Macleans rankings) into large research universities with many PhD granting programs and medical schools (for example, McGill University); ""comprehensive"" universities that have some PhDs but aren't geared toward research (such as Waterloo); and smaller, primarily undergraduate universities (such as St. Francis Xavier).",A college teaches students for how many years in Canada?,two
"Dismayed to find that groundbreaking work had already been undertaken by Helmholtz who had conveyed vowel sounds by means of a similar tuning fork ""contraption"", he pored over the German scientist's book. Working from his own erroneous mistranslation of a French edition, Bell fortuitously then made a deduction that would be the underpinning of all his future work on transmitting sound, reporting: ""Without knowing much about the subject, it seemed to me that if vowel sounds could be produced by electrical means, so could consonants, so could articulate speech."" He also later remarked: ""I thought that Helmholtz had done it ... and that my failure was due only to my ignorance of electricity. It was a valuable blunder ... If I had been able to read German in those days, I might never have commenced my experiments!""[N 7]",By what means did Bell conclude vowel sounds could be made?,electrical
"Portuguese law applied in the former colonies and territories and continues to be the major influence for those countries. Portugal's main police organizations are the Guarda Nacional Republicana – GNR (National Republican Guard), a gendarmerie; the Polícia de Segurança Pública – PSP (Public Security Police), a civilian police force who work in urban areas; and the Polícia Judiciária – PJ (Judicial Police), a highly specialized criminal investigation police that is overseen by the Public Ministry.",Portuguese law continues to be a major influence for what?,former colonies and territories
"QED vacuum has interesting and complex properties. In QED vacuum, the electric and magnetic fields have zero average values, but their variances are not zero. As a result, QED vacuum contains vacuum fluctuations (virtual particles that hop into and out of existence), and a finite energy called vacuum energy. Vacuum fluctuations are an essential and ubiquitous part of quantum field theory. Some experimentally verified effects of vacuum fluctuations include spontaneous emission and the Lamb shift. Coulomb's law and the electric potential in vacuum near an electric charge are modified.","When are electric and magnetic fields with zero average values, but their variances are not at zero?",In QED vacuum
"The skeleton consists of very lightweight bones. They have large air-filled cavities (called pneumatic cavities) which connect with the respiratory system. The skull bones in adults are fused and do not show cranial sutures. The orbits are large and separated by a bony septum. The spine has cervical, thoracic, lumbar and caudal regions with the number of cervical (neck) vertebrae highly variable and especially flexible, but movement is reduced in the anterior thoracic vertebrae and absent in the later vertebrae. The last few are fused with the pelvis to form the synsacrum. The ribs are flattened and the sternum is keeled for the attachment of flight muscles except in the flightless bird orders. The forelimbs are modified into wings.",What consists of very lightweight bones?,The skeleton
"Protestants reject the Roman Catholic Church's doctrine that it is the one true church, believing in the invisible church, which consists of all who profess faith in Jesus Christ. Some Protestant denominations are less accepting of other denominations, and the basic orthodoxy of some is questioned by most of the others. Individual denominations also have formed over very subtle theological differences. Other denominations are simply regional or ethnic expressions of the same beliefs. Because the five solas are the main tenets of the Protestant faith, non-denominational groups and organizations are also considered Protestant.",What type of church do Protestants believe in?,the invisible church
"Hayek had a long-standing and close friendship with philosopher of science Karl Popper, also from Vienna. In a letter to Hayek in 1944, Popper stated, ""I think I have learnt more from you than from any other living thinker, except perhaps Alfred Tarski."" (See Hacohen, 2000). Popper dedicated his Conjectures and Refutations to Hayek. For his part, Hayek dedicated a collection of papers, Studies in Philosophy, Politics, and Economics, to Popper and, in 1982, said that ""ever since his Logik der Forschung first came out in 1934, I have been a complete adherent to his general theory of methodology"". Popper also participated in the inaugural meeting of the Mont Pelerin Society. Their friendship and mutual admiration, however, do not change the fact that there are important differences between their ideas.",Which fellow Vienna native was Hayek friends with?,Karl Popper
"Due to the chemical composition of the pentose residues of the bases, DNA strands have directionality. One end of a DNA polymer contains an exposed hydroxyl group on the deoxyribose; this is known as the 3' end of the molecule. The other end contains an exposed phosphate group; this is the 5' end. The two strands of a double-helix run in opposite directions. Nucleic acid synthesis, including DNA replication and transcription occurs in the 5'→3' direction, because new nucleotides are added via a dehydration reaction that uses the exposed 3' hydroxyl as a nucleophile.:27.2",What causes the directionality of DNA strands?,the chemical composition of the pentose residues of the bases
"Until about 1855 the words near east and far east did not refer to any particular region. The far East, a phrase containing a noun, East, qualified by an adjective, far, could be at any location in the ""far east"" of the speaker's home territory. The Ottoman Empire, for example, was the far East as much as the East Indies. The Crimean War brought a change in vocabulary with the introduction of terms more familiar to the late 19th century. The Russian Empire had entered a more aggressive phase, becoming militarily active against the Ottoman Empire and also against China, with territorial aggrandizement explicitly in mind. Rethinking its policy the British government decided that the two polities under attack were necessary for the balance of power. It therefore undertook to oppose the Russians in both places, one result being the Crimean War. During that war the administration of the British Empire began promulgating a new vocabulary, giving specific regional meaning to ""the Near East,"" the Ottoman Empire, and ""the Far East,"" the East Indies. The two terms were now compound nouns often shown hyphenated.",Until what year did the words near east and far east not refer to any particular region? ,1855
"Russell moved the Watch Tower Society's headquarters to Brooklyn, New York, in 1909, combining printing and corporate offices with a house of worship; volunteers were housed in a nearby residence he named Bethel. He identified the religious movement as ""Bible Students,"" and more formally as the International Bible Students Association. By 1910, about 50,000 people worldwide were associated with the movement and congregations re-elected him annually as their ""pastor."" Russell died October 31, 1916, at the age of 64 while returning from a ministerial speaking tour.",When did Russell move the Society's headquarters to Brooklyn?,1909
"A special tribute to Simon Cowell was presented in the finale for his final season with the show. Many figures from the show's past, including Paula Abdul, made an appearance.",Who had their final season in the show in season nine?,Simon Cowell
Several studies have suggested that DST increases motor fuel consumption. The 2008 DOE report found no significant increase in motor gasoline consumption due to the 2007 United States extension of DST.,Have studies shown DST generally increases or reduces gas consumption from cars?,increases
"Richmond's economy is primarily driven by law, finance, and government, with federal, state, and local governmental agencies, as well as notable legal and banking firms, located in the downtown area. The city is home to both the United States Court of Appeals for the Fourth Circuit, one of 13 United States courts of appeals, and the Federal Reserve Bank of Richmond, one of 12 Federal Reserve Banks. Dominion Resources and MeadWestvaco, Fortune 500 companies, are headquartered in the city, with others in the metropolitan area.",What things are important to the economy of Richmond?,"law, finance, and government, with federal, state, and local governmental agencies"
"Cesare Beccaria, a jurist and one of the great Enlightenment writers, became famous for his masterpiece Of Crimes and Punishments (1764), which was later translated into 22 languages. Another prominent intellectual was Francesco Mario Pagano, who wrote important studies such as Saggi Politici (Political Essays, 1783), one of the major works of the Enlightenment in Naples, and Considerazioni sul processo criminale (Considerations on the criminal trial, 1787), which established him as an international authority on criminal law.",For which masterpiece did Cesare Beccaria become famous?,Crimes and Punishments (1764)
"In addition, there are a number of dialect characters (方言字) that are not used in formal written Chinese but represent colloquial terms in non-Mandarin varieties of Chinese. One such variety is Written Cantonese, in widespread use in Hong Kong even for certain formal documents, due to the former British colonial administration's recognition of Cantonese for use for official purposes. In Taiwan, there is also an informal body of characters used to represent Hokkien Chinese. Many varieties have specific characters for words exclusive to them. For example, the vernacular character 㓾, pronounced cii11 in Hakka, means ""to kill"". Furthermore, Shanghainese and Sichuanese also have their own series of written text, but these are not widely used in actual texts, Mandarin being the preference for all mainland regions.",What are not used in formal written Chinese?,dialect characters
"The 19th-century English art critic, John Ruskin, in his Seven Lamps of Architecture, published 1849, was much narrower in his view of what constituted architecture. Architecture was the ""art which so disposes and adorns the edifices raised by men ... that the sight of them"" contributes ""to his mental health, power, and pleasure"".",Who wrote Seven Lamps of Architecture?,John Ruskin
"Much of the Great Plains became open range, or rangeland where cattle roamed free, hosting ranching operations where anyone was theoretically free to run cattle. In the spring and fall, ranchers held roundups where their cowboys branded new calves, treated animals and sorted the cattle for sale. Such ranching began in Texas and gradually moved northward. In 1866-95, cowboys herded 10 million cattle north to rail heads such as Dodge City, Kansas and Ogallala, Nebraska; from there, cattle were shipped eastward.",what type of land is much of the great plans?,open range
"At the University of Vienna, Hayek earned doctorates in law and political science in 1921 and 1923 respectively; and he also studied philosophy, psychology, and economics. For a short time, when the University of Vienna closed, Hayek studied in Constantin von Monakow's Institute of Brain Anatomy, where Hayek spent much of his time staining brain cells. Hayek's time in Monakow's lab, and his deep interest in the work of Ernst Mach, inspired Hayek's first intellectual project, eventually published as The Sensory Order (1952). It located connective learning at the physical and neurological levels, rejecting the ""sense data"" associationism of the empiricists and logical positivists. Hayek presented his work to the private seminar he had created with Herbert Furth called the Geistkreis.",Where did Hayek acquire his doctorates?,University of Vienna
"By the end of the 12th century, Paris had become the political, economic, religious, and cultural capital of France. The Île de la Cité was the site of the royal palace. In 1163, during the reign of Louis VII, Maurice de Sully, bishop of Paris, undertook the construction of the Notre Dame Cathedral at its eastern extremity. The Left Bank was the site of the University of Paris, a corporation of students and teachers formed in the mid-12th century to train scholars first in theology, and later in canon law, medicine and the arts.",What was the site of the royal palace in the 12th century?,Île de la Cité
"Eavesdropping is the act of surreptitiously listening to a private conversation, typically between hosts on a network. For instance, programs such as Carnivore and NarusInsight have been used by the FBI and NSA to eavesdrop on the systems of internet service providers. Even machines that operate as a closed system (i.e., with no contact to the outside world) can be eavesdropped upon via monitoring the faint electro-magnetic transmissions generated by the hardware; TEMPEST is a specification by the NSA referring to these attacks.",What is the act of surreptitiously listening to a private conversation?,Eavesdropping
"Carnivore was an electronic eavesdropping software system implemented by the FBI during the Clinton administration; it was designed to monitor email and electronic communications. After prolonged negative coverage in the press, the FBI changed the name of its system from ""Carnivore"" to ""DCS1000."" DCS is reported to stand for ""Digital Collection System""; the system has the same functions as before. The Associated Press reported in mid-January 2005 that the FBI essentially abandoned the use of Carnivore in 2001, in favor of commercially available software, such as NarusInsight.",What was the electronic eavesdropping system used by the FBI during the Clinton presidency?,Carnivore
"Although the etymology of the name has been studied since the 7th century by authors like Isidore of Seville —who wrote that ""Galicians are called so, because of their fair skin, as the Gauls"", relating the name to the Greek word for milk—, currently scholars derive the name of the ancient Callaeci either from Proto-Indo-European *kal-n-eH2 'hill', through a local relational suffix -aik-, so meaning 'the hill (people)'; or either from Proto-Celtic *kallī- 'forest', so meaning 'the forest (people)'. In any case, Galicia, being per se a derivation of the ethnic name Kallaikói, would mean 'the land of the Galicians'.","Which author wrote that ""Galicians are called so, because of their fair skin, as the Gauls""?",Isidore
"The Islamic conquests reached their peak in the mid-8th century. The defeat of Muslim forces at the Battle of Poitiers in 732 led to the reconquest of southern France by the Franks, but the main reason for the halt of Islamic growth in Europe was the overthrow of the Umayyad dynasty and its replacement by the Abbasid dynasty. The Abbasids moved their capital to Baghdad and were more concerned with the Middle East than Europe, losing control of sections of the Muslim lands. Umayyad descendants took over the Iberian Peninsula, the Aghlabids controlled North Africa, and the Tulunids became rulers of Egypt. By the middle of the 8th century, new trading patterns were emerging in the Mediterranean; trade between the Franks and the Arabs replaced the old Roman patterns of trade. Franks traded timber, furs, swords and slaves in return for silks and other fabrics, spices, and precious metals from the Arabs.",In what year did the Battle of Poitiers take place?,732
"Building Partnerships is described as airmen interacting with international airmen and other relevant actors to develop, guide, and sustain relationships for mutual benefit and security. Building Partnerships is about interacting with others and is therefore an inherently inter-personal and cross-cultural undertaking. Through both words and deeds, the majority of interaction is devoted to building trust-based relationships for mutual benefit. It includes both foreign partners as well as domestic partners and emphasizes collaboration with foreign governments, militaries and populations as well as US government departments, agencies, industry, and NGOs. To better facilitate partnering efforts, Airmen should be competent in the relevant language, region, and culture.",What does Building Partnerships relate to in the Air Force? ,airmen interacting with international airmen and other relevant actors
"Around 1300, centuries of prosperity and growth in Europe came to a halt. A series of famines and plagues, including the Great Famine of 1315–1317 and the Black Death, reduced the population to around half of what it was before the calamities. Along with depopulation came social unrest and endemic warfare. France and England experienced serious peasant uprisings, such as the Jacquerie and the Peasants' Revolt, as well as over a century of intermittent conflict in the Hundred Years' War. To add to the many problems of the period, the unity of the Catholic Church was shattered by the Western Schism. Collectively these events are sometimes called the Crisis of the Late Middle Ages.",What shattered the unity of the Catholic Church?,the Western Schism
"The crisis had a major impact on international relations and created a rift within NATO. Some European nations and Japan sought to disassociate themselves from United States foreign policy in the Middle East to avoid being targeted by the boycott. Arab oil producers linked any future policy changes to peace between the belligerents. To address this, the Nixon Administration began multilateral negotiations with the combatants. They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights. By January 18, 1974, US Secretary of State Henry Kissinger had negotiated an Israeli troop withdrawal from parts of the Sinai Peninsula. The promise of a negotiated settlement between Israel and Syria was enough to convince Arab oil producers to lift the embargo in March 1974.",Why did the European nations and Japan separated themselves from United States during the crisis?,to avoid being targeted by the boycott; to avoid being targeted by the boycott; to avoid being targeted by the boycott; to avoid being targeted by the boycott; to avoid being targeted by the boycott
"Following the announcement of Nasser's death, Egypt and the Arab world were in a state of shock. Nasser's funeral procession through Cairo on 1 October was attended by at least five million mourners. The 10-kilometer (6.2 mi) procession to his burial site began at the old RCC headquarters with a flyover by MiG-21 jets. His flag-draped coffin was attached to a gun carriage pulled by six horses and led by a column of cavalrymen. All Arab heads of state attended, with the exception of Saudi King Faisal. King Hussein and Arafat cried openly, and Muammar Gaddafi of Libya fainted from emotional distress twice. A few major non-Arab dignitaries were present, including Soviet Premier Alexei Kosygin and French Prime Minister Jacques Chaban-Delmas.",How many people attended Nasser's funeral?,at least five million
"A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power. It is composed of semiconductor material with at least three terminals for connection to an external circuit. A voltage or current applied to one pair of the transistor's terminals changes the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Today, some transistors are packaged individually, but many more are found embedded in integrated circuits.",What is the use of a transistor?,to amplify or switch electronic signals and electrical power
"Solar power is anticipated to become the world's largest source of electricity by 2050, with solar photovoltaics and concentrated solar power contributing 16 and 11 percent to the global overall consumption, respectively.",By what year is solar power expected to become the world's greatest source of electricity?,2050
"Since 1066, when Harold Godwinson and William the Conqueror were crowned, the coronations of English and British monarchs have been held there. There have been at least 16 royal weddings at the abbey since 1100. Two were of reigning monarchs (Henry I and Richard II), although, before 1919, there had been none for some 500 years.",Who were the first monarchs crowned at Westminster Abbey?,Harold Godwinson and William the Conqueror
"In 1964, Turkey tried to invade Cyprus in response to the continuing Cypriot intercommunal violence. But Turkey was stopped by a strongly worded telegram from the US President Lyndon B. Johnson on 5 June, warning that the US would not stand beside Turkey in case of a consequential Soviet invasion of Turkish territory. Meanwhile, by 1964, enosis was a Greek policy that could not be abandoned; Makarios and the Greek prime minister Georgios Papandreou agreed that enosis should be the ultimate aim and King Constantine wished Cyprus ""a speedy union with the mother country"". Greece dispatched 10,000 troops to Cyprus to counter a possible Turkish invasion.",Who tried to invade Cyprus in 1964?,Turkey
"In the early 19th century, Augustus Welby Northmore Pugin wrote Contrasts (1836) that, as the titled suggested, contrasted the modern, industrial world, which he disparaged, with an idealized image of neo-medieval world. Gothic architecture, Pugin believed, was the only ""true Christian form of architecture.""",Who wrote the book Contrasts?,Augustus Welby Northmore Pugin
"According to the commentators, Virgil received his first education when he was five years old and he later went to Cremona, Milan, and finally Rome to study rhetoric, medicine, and astronomy, which he soon abandoned for philosophy. From Virgil's admiring references to the neoteric writers Pollio and Cinna, it has been inferred that he was, for a time, associated with Catullus' neoteric circle. However schoolmates considered Virgil extremely shy and reserved, according to Servius, and he was nicknamed ""Parthenias"" or ""maiden"" because of his social aloofness. Virgil seems to have suffered bad health throughout his life and in some ways lived the life of an invalid. According to the Catalepton, while in the Epicurean school of Siro the Epicurean at Naples, he began to write poetry. A group of small works attributed to the youthful Virgil by the commentators survive collected under the title Appendix Vergiliana, but are largely considered spurious by scholars. One, the Catalepton, consists of fourteen short poems, some of which may be Virgil's, and another, a short narrative poem titled the Culex (""The Gnat""), was attributed to Virgil as early as the 1st century AD.",Which three studies did Virgil abandon for philosophy?,"rhetoric, medicine, and astronomy"
"In 2009, former British Prime Minister Tony Blair picked Yale as one location – the others are Britain's Durham University and Universiti Teknologi Mara – for the Tony Blair Faith Foundation's United States Faith and Globalization Initiative. As of 2009, former Mexican President Ernesto Zedillo is the director of the Yale Center for the Study of Globalization and teaches an undergraduate seminar, ""Debating Globalization"". As of 2009, former presidential candidate and DNC chair Howard Dean teaches a residential college seminar, ""Understanding Politics and Politicians."" Also in 2009, an alliance was formed among Yale, University College London, and both schools’ affiliated hospital complexes to conduct research focused on the direct improvement of patient care—a growing field known as translational medicine. President Richard Levin noted that Yale has hundreds of other partnerships across the world, but ""no existing collaboration matches the scale of the new partnership with UCL"".","Besides Yale, what other two locations were chosen by Tony Blair for the Tony Blair Faith Foundation's United States Faith and Globalization Initiative?",Britain's Durham University and Universiti Teknologi Mara
"It authorized the Secretary of the Interior to list endangered domestic fish and wildlife and allowed the United States Fish and Wildlife Service to spend up to $15 million per year to buy habitats for listed species. It also directed federal land agencies to preserve habitat on their lands. The Act also consolidated and even expanded authority for the Secretary of the Interior to manage and administer the National Wildlife Refuge System. Other public agencies were encouraged, but not required, to protect species. The act did not address the commerce in endangered species and parts.",What did the Endangered Species Act authorize the Secretary of the Interior to do?,list endangered domestic fish and wildlife
"Service trials demonstrated another problem however: that ranging and tracking the new high-speed targets was almost impossible. At short range, the apparent target area is relatively large, the trajectory is flat and the time of flight is short, allowing to correct lead by watching the tracers. At long range, the aircraft remains in firing range for a long time, so the necessary calculations can in theory be done by slide rules - though, because small errors in distance cause large errors in shell fall height and detonation time, exact ranging is crucial. For the ranges and speeds that the Bofors worked at, neither answer was good enough.",What was shown to be practically not possible during service trials?,ranging and tracking the new high-speed targets
"Burke's last publications were the Letters on a Regicide Peace (October 1796), called forth by negotiations for peace with France by the Pitt government. Burke regarded this as appeasement, injurious to national dignity and honour. In his Second Letter, Burke wrote of the French Revolutionary Government: ""Individuality is left out of their scheme of government. The State is all in all. Everything is referred to the production of force; afterwards, everything is trusted to the use of it. It is military in its principle, in its maxims, in its spirit, and in all its movements. The State has dominion and conquest for its sole objects—dominion over minds by proselytism, over bodies by arms"".",What was Burke's final publication?,Letters on a Regicide Peace
"The rival of Takeda Shingen (1521–1573) was Uesugi Kenshin (1530–1578), a legendary Sengoku warlord well-versed in the Chinese military classics and who advocated the ""way of the warrior as death"". Japanese historian Daisetz Teitaro Suzuki describes Uesugi's beliefs as: ""Those who are reluctant to give up their lives and embrace death are not true warriors.... Go to the battlefield firmly confident of victory, and you will come home with no wounds whatever. Engage in combat fully determined to die and you will be alive; wish to survive in the battle and you will surely meet death. When you leave the house determined not to see it again you will come home safely; when you have any thought of returning you will not return. You may not be in the wrong to think that the world is always subject to change, but the warrior must not entertain this way of thinking, for his fate is always determined.""",Who was Takeda's rival?,Uesugi Kenshin
"Doug Morris, who was head of Warner Music Group, then Universal Music, became chairman and CEO of the company on July 1, 2011. Sony Music underwent a restructuring after Morris' arrival. He was joined by L.A. Reid, who became the chairman and CEO of Epic Records. Under Reid, multiple artists from the Jive half of the former RCA/Jive Label Group moved to Epic. Peter Edge became the new CEO of the RCA Records unit. The RCA Music Group closed down Arista, J Records and Jive Records in October 2011, with the artists from those labels being moved to RCA Records.",What famous music producer became CEO of Epic Records?,L.A. Reid
"The jat-reflex rules are not without exception. For example, when short jat is preceded by r, in most Ijekavian dialects developed into /re/ or, occasionally, /ri/. The prefix prě- (""trans-, over-"") when long became pre- in eastern Ijekavian dialects but to prije- in western dialects; in Ikavian pronunciation, it also evolved into pre- or prije- due to potential ambiguity with pri- (""approach, come close to""). For verbs that had -ěti in their infinitive, the past participle ending -ěl evolved into -io in Ijekavian Neoštokavian.",To what did the ending -ei evolve into in Ijekavian Neostokavian?,-io
"Buckingham Palace finally became the principal royal residence in 1837, on the accession of Queen Victoria, who was the first monarch to reside there; her predecessor William IV had died before its completion. While the state rooms were a riot of gilt and colour, the necessities of the new palace were somewhat less luxurious. For one thing, it was reported the chimneys smoked so much that the fires had to be allowed to die down, and consequently the court shivered in icy magnificence. Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors. It was also said that staff were lax and lazy and the palace was dirty. Following the queen's marriage in 1840, her husband, Prince Albert, concerned himself with a reorganisation of the household offices and staff, and with the design faults of the palace. The problems were all rectified by the close of 1840. However, the builders were to return within the decade.",Who was the first monarch to reside at Buckingham Palace?,Queen Victoria
"Gustav had a preference for his elder son, Meinhard (July 17, 1946 – May 20, 1971), over Arnold. His favoritism was ""strong and blatant,"" which stemmed from unfounded suspicion that Arnold was not his biological child. Schwarzenegger has said his father had ""no patience for listening or understanding your problems."" Schwarzenegger had a good relationship with his mother and kept in touch with her until her death. In later life, Schwarzenegger commissioned the Simon Wiesenthal Center to research his father's wartime record, which came up with no evidence of Gustav's being involved in atrocities, despite Gustav's membership in the Nazi Party and SA. Schwarzenegger's father's background received wide press attention during the 2003 California recall campaign. At school, Schwarzenegger was apparently in the middle but stood out for his ""cheerful, good-humored and exuberant"" character. Money was a problem in their household; Schwarzenegger recalled that one of the highlights of his youth was when the family bought a refrigerator.",What was Schwarzenegger's older brother's name?,Meinhard
"The pilgrims in Geoffrey Chaucer's late 14th-century Canterbury Tales set out for Canterbury from London – specifically, from the Tabard inn, Southwark. William Shakespeare spent a large part of his life living and working in London; his contemporary Ben Jonson was also based there, and some of his work—most notably his play The Alchemist—was set in the city. A Journal of the Plague Year (1722) by Daniel Defoe is a fictionalisation of the events of the 1665 Great Plague. Later important depictions of London from the 19th and early 20th centuries are Dickens' novels, and Arthur Conan Doyle's Sherlock Holmes stories. Modern writers pervasively influenced by the city include Peter Ackroyd, author of a ""biography"" of London, and Iain Sinclair, who writes in the genre of psychogeography.",What famous Elizabethan playwright spent much of his life in London?,William Shakespeare
"There are several details that are only found in one of the gospel accounts. For instance, only Matthew's gospel mentions an earthquake, resurrected saints who went to the city and that Roman soldiers were assigned to guard the tomb, while Mark is the only one to state the actual time of the crucifixion (the third hour, or 9 am) and the centurion's report of Jesus' death. The Gospel of Luke's unique contributions to the narrative include Jesus' words to the women who were mourning, one criminal's rebuke of the other, the reaction of the multitudes who left ""beating their breasts"", and the women preparing spices and ointments before resting on the Sabbath. John is also the only one to refer to the request that the legs be broken and the soldier's subsequent piercing of Jesus' side (as fulfillment of Old Testament prophecy), as well as that Nicodemus assisted Joseph with burial.",What detail of Jesus's Crucifiction was only found in Matthew's Gospel?,an earthquake
"From 2004 to 2007, the top five U.S. investment banks each significantly increased their financial leverage (see diagram), which increased their vulnerability to a financial shock. Changes in capital requirements, intended to keep U.S. banks competitive with their European counterparts, allowed lower risk weightings for AAA securities. The shift from first-loss tranches to AAA tranches was seen by regulators as a risk reduction that compensated the higher leverage. These five institutions reported over $4.1 trillion in debt for fiscal year 2007, about 30% of USA nominal GDP for 2007. Lehman Brothers went bankrupt and was liquidated, Bear Stearns and Merrill Lynch were sold at fire-sale prices, and Goldman Sachs and Morgan Stanley became commercial banks, subjecting themselves to more stringent regulation. With the exception of Lehman, these companies required or received government support. Lehman reported that it had been in talks with Bank of America and Barclays for the company's possible sale. However, both Barclays and Bank of America ultimately declined to purchase the entire company.",How many U.S. investment banks significantly increased their financial leverage from 2004 to 2007?,five
"Following al-Farabi's lead, Avicenna initiated a full-fledged inquiry into the question of being, in which he distinguished between essence (Mahiat) and existence (Wujud). He argued that the fact of existence can not be inferred from or accounted for by the essence of existing things, and that form and matter by themselves cannot interact and originate the movement of the universe or the progressive actualization of existing things. Existence must, therefore, be due to an agent-cause that necessitates, imparts, gives, or adds existence to an essence. To do so, the cause must be an existing thing and coexist with its effect.",What did Avicenna start an inquiry into?,the question of being
"Serotonin is a neuromodulator involved in regulation of mood and behavior. Development in the limbic system plays an important role in determining rewards and punishments and processing emotional experience and social information. Changes in the levels of the neurotransmitters dopamine and serotonin in the limbic system make adolescents more emotional and more responsive to rewards and stress. The corresponding increase in emotional variability also can increase adolescents' vulnerability. The effect of serotonin is not limited to the limbic system: Several serotonin receptors have their gene expression change dramatically during adolescence, particularly in the human frontal and prefrontal cortex .",Which neuromodulator is involved in regulation of mood and behavior?,Serotonin
"The history of the Greek people is closely associated with the history of Greece, Cyprus, Constantinople, Asia Minor and the Black Sea. During the Ottoman rule of Greece, a number of Greek enclaves around the Mediterranean were cut off from the core, notably in Southern Italy, the Caucasus, Syria and Egypt. By the early 20th century, over half of the overall Greek-speaking population was settled in Asia Minor (now Turkey), while later that century a huge wave of migration to the United States, Australia, Canada and elsewhere created the modern Greek diaspora.",What location did many of the Greek people decide to live in other than Greece after the 19th century ?,Asia Minor (now Turkey)
